Candidato,Voti,Lista,COALIZIONE
GIANNOCCARO NICOLA,34,M5S,3
NONNIS MARZANO CARLOTTA,34,EUROPA VERDE - VERDI,1
PALMISANO CLAUDIO,34,GENERAZIONE URBANA,3
GRITTANI CATERINA,34,OLTRE MANGANO SINDACO,4
BUCCIANTI FRANCESCO,33,DECARO PER BARI,1
LOPONTE LUCIANA,33,BARI CITTA' D'EUROPA,3
BITETTO ANNARITA,33,BARI X FABIO ROMITO,2
DI ROMA VITO,33,BARI X FABIO ROMITO,2
SCARNERA ANNA,33,SCIACOVELLI SINDACO - CI PIACE!,4
CAPRUZZI GIULIO,33,NOI PER BARI - ITALEXIT PER L'ITALIA PER SCIACOVELLI SINDACO,4
VENTURA FRANCESCO SAVERIO,32,FDI,2
RICCI SANTE,32,M5S,3
PAPA ALESSANDRA EMANUELA,32,LECCESE SINDACO,1
CUTRI' VINCENZO,32,FORZA ITALIA,2
FERRARI MARIA,32,FORZA ITALIA,2
DE LEONARDIS MARINO,32,PROGETTO BARI CON LECCESE,1
FANELLI VINCENZO,32,NOI POPOLARI,1
CIPPONE DONATO,32,OLTRE MANGANO SINDACO,4
CAVALLUZZI DAVIDE,31,LAFORGIA SINDACO,3
SANSEVERINO CHRISTIAN,31,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
RANIERI NICOLA,31,PROGETTO BARI CON LECCESE,1
SPEZZACATENE LUIGI,31,PROGETTO BARI CON LECCESE,1
GIANNONE GIUSEPPE,31,BARI X FABIO ROMITO,2
INSALATA ANDREA,31,GENERAZIONE URBANA,3
ARCIULI GIUSEPPE,31,SCIACOVELLI SINDACO - CI PIACE!,4
DE PASQUALE MARIA,31,SCIACOVELLI SINDACO - CI PIACE!,4
VOX DAVIDE,30,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
STRUSI RITA,30,FORZA ITALIA,2
DI SARIO FRANCESCO,30,NOI MODERATI,2
DI SALVIA DAVIDE,29,M5S,3
TOCCO ELVIRA TIBERIA ROMANA,29,LECCESE SINDACO,1
TORRE CARMELO MARIA,29,PROGETTO BARI CON LECCESE,1
APOLLONIO CARMINE GIANCARLO,29,BARI X FABIO ROMITO,2
SERRAVEZZA CARLA,29,EUROPA VERDE - VERDI,1
COLONGO ALDO,29,NOI MODERATI,2
PANZA MERCEDES,29,NOI MODERATI,2
DI PIPPO FRANCESCO,29,GENERAZIONE URBANA,3
DEL GIUDICE ANTONELLA,28,M5S,3
COCOLO GUIDO,28,UDC - PRIMA L'ITALIA PER ROMITO SINDACO,2
FANELLI VINCENZO,28,FORZA ITALIA,2
LAFRONZA GIOVANNI,28,NOI POPOLARI,1
LAMPARELLI MARIA ROSA,28,LIBERALI E RIFORMISTI - nPSI,2
ZENONE BRUNO,28,LIBERALI E RIFORMISTI - nPSI,2
VOLPE ANTONIO,28,MARIO CONCA PER BARI,2
MARINO LUCA,28,MARIO CONCA PER BARI,2
CALABRESE BARBARA,27,CON LECCESE SINDACO,1
KRUTI MATILDA,27,BARI BENE COMUNE,3
INDOLFI PIERANGELO,27,BARI CITTA' D'EUROPA,3
MARTIRADONNA MARIAGRAZIA,27,BARI CITTA' D'EUROPA,3
